start_station,end_station,distance,travel_time
Baclaran,EDSA,0.588,1.764
Baclaran,Libertad,1.5979999999999999,4.794
EDSA,Libertad,1.01,3.0300000000000002
Baclaran,Gil Puyat,2.328,6.983999999999999
EDSA,Gil Puyat,1.74,5.220000000000001
Libertad,Gil Puyat,0.73,2.19
Baclaran,Vito Cruz,3.389,10.166999999999998
EDSA,Vito Cruz,2.801,8.403
Libertad,Vito Cruz,1.791,5.372999999999999
Gil Puyat,Vito Cruz,1.061,3.183
Baclaran,Quirino,4.215999999999999,12.647999999999998
EDSA,Quirino,3.628,10.884
Libertad,Quirino,2.618,7.853999999999999
Gil Puyat,Quirino,1.888,5.664
Vito Cruz,Quirino,0.827,2.481
Baclaran,Pedro Gil,5.01,15.029999999999998
EDSA,Pedro Gil,4.422000000000001,13.266000000000002
Libertad,Pedro Gil,3.412,10.236
Gil Puyat,Pedro Gil,2.682,8.046
Vito Cruz,Pedro Gil,1.621,4.863
Quirino,Pedro Gil,0.794,2.382
Baclaran,United Nations,5.763999999999999,17.291999999999998
EDSA,United Nations,5.176,15.528
Libertad,United Nations,4.166,12.498000000000001
Gil Puyat,United Nations,3.436,10.308
Vito Cruz,United Nations,2.375,7.125
Quirino,United Nations,1.548,4.644
Pedro Gil,United Nations,0.754,2.262
Baclaran,Central Terminal,6.978,20.934
EDSA,Central Terminal,6.390000000000001,19.17
Libertad,Central Terminal,5.380000000000001,16.140000000000004
Gil Puyat,Central Terminal,4.65,13.95
Vito Cruz,Central Terminal,3.589,10.767
Quirino,Central Terminal,2.762,8.286
Pedro Gil,Central Terminal,1.968,5.904
United Nations,Central Terminal,1.214,3.6420000000000003
Baclaran,Carriedo,7.702999999999999,23.108999999999998
EDSA,Carriedo,7.115,21.345000000000002
Libertad,Carriedo,6.105,18.315
Gil Puyat,Carriedo,5.375,16.125
Vito Cruz,Carriedo,4.314,12.942000000000002
Quirino,Carriedo,3.487,10.461
Pedro Gil,Carriedo,2.693,8.079
United Nations,Carriedo,1.939,5.817
Central Terminal,Carriedo,0.725,2.175
Baclaran,Doroteo Jose,8.388,25.163999999999998
EDSA,Doroteo Jose,7.800000000000001,23.400000000000002
Libertad,Doroteo Jose,6.790000000000001,20.37
Gil Puyat,Doroteo Jose,6.0600000000000005,18.18
Vito Cruz,Doroteo Jose,4.9990000000000006,14.997000000000003
Quirino,Doroteo Jose,4.172000000000001,12.516000000000002
Pedro Gil,Doroteo Jose,3.378,10.134
United Nations,Doroteo Jose,2.624,7.872
Central Terminal,Doroteo Jose,1.4100000000000001,4.23
Carriedo,Doroteo Jose,0.685,2.055
Baclaran,Bambang,9.036,27.107999999999997
EDSA,Bambang,8.448,25.344
Libertad,Bambang,7.438000000000001,22.314
Gil Puyat,Bambang,6.708,20.124000000000002
Vito Cruz,Bambang,5.647,16.941
Quirino,Bambang,4.82,14.460000000000003
Pedro Gil,Bambang,4.026,12.078
United Nations,Bambang,3.2720000000000002,9.816
Central Terminal,Bambang,2.0580000000000003,6.174000000000001
Carriedo,Bambang,1.3330000000000002,3.999000000000001
Doroteo Jose,Bambang,0.648,1.9440000000000002
Baclaran,Tayuman,9.654,28.962
EDSA,Tayuman,9.066,27.198
Libertad,Tayuman,8.056000000000001,24.168000000000003
Gil Puyat,Tayuman,7.3260000000000005,21.978
Vito Cruz,Tayuman,6.265000000000001,18.795
Quirino,Tayuman,5.438000000000001,16.314
Pedro Gil,Tayuman,4.644,13.931999999999999
United Nations,Tayuman,3.89,11.67
Central Terminal,Tayuman,2.676,8.028
Carriedo,Tayuman,1.951,5.853
Doroteo Jose,Tayuman,1.266,3.7980000000000005
Bambang,Tayuman,0.618,1.8539999999999999
Baclaran,Blumentritt,10.325,30.975
EDSA,Blumentritt,9.737,29.211000000000002
Libertad,Blumentritt,8.727,26.181
Gil Puyat,Blumentritt,7.997000000000001,23.991000000000003
Vito Cruz,Blumentritt,6.936000000000001,20.808
Quirino,Blumentritt,6.109000000000001,18.327000000000005
Pedro Gil,Blumentritt,5.315,15.945000000000002
United Nations,Blumentritt,4.561,13.682999999999998
Central Terminal,Blumentritt,3.3470000000000004,10.041
Carriedo,Blumentritt,2.622,7.866
Doroteo Jose,Blumentritt,1.937,5.811
Bambang,Blumentritt,1.2890000000000001,3.867
Tayuman,Blumentritt,0.671,2.0130000000000003
Baclaran,Abad Santos,11.251999999999999,33.75599999999999
EDSA,Abad Santos,10.664,31.992
Libertad,Abad Santos,9.654,28.962
Gil Puyat,Abad Santos,8.924000000000001,26.772000000000002
Vito Cruz,Abad Santos,7.863000000000001,23.589000000000006
Quirino,Abad Santos,7.036000000000001,21.108000000000004
Pedro Gil,Abad Santos,6.242000000000001,18.726000000000003
United Nations,Abad Santos,5.4879999999999995,16.464
Central Terminal,Abad Santos,4.274000000000001,12.822000000000003
Carriedo,Abad Santos,3.549,10.647
Doroteo Jose,Abad Santos,2.864,8.592
Bambang,Abad Santos,2.216,6.648000000000001
Tayuman,Abad Santos,1.598,4.7940000000000005
Blumentritt,Abad Santos,0.927,2.781
Baclaran,R Papa,11.911999999999999,35.736
EDSA,R Papa,11.324,33.971999999999994
Libertad,R Papa,10.314,30.942
Gil Puyat,R Papa,9.584000000000001,28.752000000000002
Vito Cruz,R Papa,8.523000000000001,25.569000000000006
Quirino,R Papa,7.6960000000000015,23.088000000000005
Pedro Gil,R Papa,6.902000000000001,20.706000000000003
United Nations,R Papa,6.148,18.444
Central Terminal,R Papa,4.934000000000001,14.802000000000003
Carriedo,R Papa,4.209,12.626999999999999
Doroteo Jose,R Papa,3.524,10.572
Bambang,R Papa,2.8760000000000003,8.628000000000002
Tayuman,R Papa,2.258,6.773999999999999
Blumentritt,R Papa,1.5870000000000002,4.761000000000001
Abad Santos,R Papa,0.66,1.98
Baclaran,5th Avenue,12.866,38.598
EDSA,5th Avenue,12.278,36.834
Libertad,5th Avenue,11.268,33.804
Gil Puyat,5th Avenue,10.538000000000002,31.614000000000004
Vito Cruz,5th Avenue,9.477000000000002,28.431000000000004
Quirino,5th Avenue,8.650000000000002,25.950000000000006
Pedro Gil,5th Avenue,7.856000000000001,23.568000000000005
United Nations,5th Avenue,7.101999999999999,21.305999999999997
Central Terminal,5th Avenue,5.888000000000001,17.664
Carriedo,5th Avenue,5.162999999999999,15.488999999999999
Doroteo Jose,5th Avenue,4.478,13.434000000000001
Bambang,5th Avenue,3.83,11.49
Tayuman,5th Avenue,3.2119999999999997,9.636
Blumentritt,5th Avenue,2.5410000000000004,7.623000000000002
Abad Santos,5th Avenue,1.6139999999999999,4.842
R Papa,5th Avenue,0.954,2.8619999999999997
Baclaran,Monumento,13.953,41.858999999999995
EDSA,Monumento,13.365,40.095
Libertad,Monumento,12.355,37.065000000000005
Gil Puyat,Monumento,11.625000000000002,34.87500000000001
Vito Cruz,Monumento,10.564000000000002,31.692000000000007
Quirino,Monumento,9.737000000000002,29.211000000000006
Pedro Gil,Monumento,8.943000000000001,26.829
United Nations,Monumento,8.189,24.567
Central Terminal,Monumento,6.9750000000000005,20.925000000000004
Carriedo,Monumento,6.249999999999999,18.749999999999996
Doroteo Jose,Monumento,5.5649999999999995,16.695
Bambang,Monumento,4.917,14.751
Tayuman,Monumento,4.2989999999999995,12.896999999999997
Blumentritt,Monumento,3.628,10.884
Abad Santos,Monumento,2.7009999999999996,8.102999999999998
R Papa,Monumento,2.041,6.122999999999999
5th Avenue,Monumento,1.087,3.261
Baclaran,Balintawak,16.203,48.608999999999995
EDSA,Balintawak,15.615,46.845
Libertad,Balintawak,14.605,43.815000000000005
Gil Puyat,Balintawak,13.875000000000002,41.62500000000001
Vito Cruz,Balintawak,12.814000000000002,38.44200000000001
Quirino,Balintawak,11.987000000000002,35.961000000000006
Pedro Gil,Balintawak,11.193000000000001,33.579
United Nations,Balintawak,10.439,31.317
Central Terminal,Balintawak,9.225000000000001,27.675000000000004
Carriedo,Balintawak,8.5,25.5
Doroteo Jose,Balintawak,7.8149999999999995,23.445
Bambang,Balintawak,7.167,21.500999999999998
Tayuman,Balintawak,6.5489999999999995,19.647
Blumentritt,Balintawak,5.878,17.634
Abad Santos,Balintawak,4.951,14.853
R Papa,Balintawak,4.291,12.873000000000001
5th Avenue,Balintawak,3.3369999999999997,10.011
Monumento,Balintawak,2.25,6.75
Baclaran,Roosevelt,18.073,54.21900000000001
EDSA,Roosevelt,17.485,52.455
Libertad,Roosevelt,16.475,49.425000000000004
Gil Puyat,Roosevelt,15.745000000000001,47.235
Vito Cruz,Roosevelt,14.684000000000001,44.05200000000001
Quirino,Roosevelt,13.857000000000003,41.57100000000001
Pedro Gil,Roosevelt,13.063000000000002,39.18900000000001
United Nations,Roosevelt,12.309000000000001,36.92700000000001
Central Terminal,Roosevelt,11.095000000000002,33.28500000000001
Carriedo,Roosevelt,10.370000000000001,31.110000000000003
Doroteo Jose,Roosevelt,9.684999999999999,29.054999999999996
Bambang,Roosevelt,9.036999999999999,27.110999999999997
Tayuman,Roosevelt,8.419,25.257
Blumentritt,Roosevelt,7.748,23.244
Abad Santos,Roosevelt,6.821,20.463
R Papa,Roosevelt,6.1610000000000005,18.483
5th Avenue,Roosevelt,5.207,15.621
Monumento,Roosevelt,4.12,12.360000000000001
Balintawak,Roosevelt,1.87,5.61
