station,min_count,card_num,Timestamp
5th Avenue,25528111,9,1531686660
5th Avenue,25528112,13,1531686720
5th Avenue,25528113,5,1531686780
5th Avenue,25528114,12,1531686840
5th Avenue,25528115,8,1531686900
5th Avenue,25528116,18,1531686960
5th Avenue,25528117,7,1531687020
5th Avenue,25528118,5,1531687080
5th Avenue,25528119,10,1531687140
5th Avenue,25528120,9,1531687200
5th Avenue,25528121,12,1531687260
5th Avenue,25528122,14,1531687320
5th Avenue,25528123,10,1531687380
5th Avenue,25528124,11,1531687440
5th Avenue,25528125,12,1531687500
5th Avenue,25528126,13,1531687560
5th Avenue,25528127,14,1531687620
5th Avenue,25528128,19,1531687680
5th Avenue,25528129,9,1531687740
5th Avenue,25528130,15,1531687800
5th Avenue,25528131,8,1531687860
5th Avenue,25528132,10,1531687920
5th Avenue,25528133,9,1531687980
5th Avenue,25528134,14,1531688040
5th Avenue,25528135,18,1531688100
5th Avenue,25528136,12,1531688160
5th Avenue,25528137,17,1531688220
5th Avenue,25528138,12,1531688280
5th Avenue,25528139,8,1531688340
5th Avenue,25528140,15,1531688400
5th Avenue,25528141,7,1531688460
5th Avenue,25528142,9,1531688520
5th Avenue,25528143,17,1531688580
5th Avenue,25528144,8,1531688640
5th Avenue,25528145,7,1531688700
5th Avenue,25528146,16,1531688760
5th Avenue,25528147,15,1531688820
5th Avenue,25528148,8,1531688880
5th Avenue,25528149,17,1531688940
5th Avenue,25528150,11,1531689000
5th Avenue,25528151,13,1531689060
5th Avenue,25528152,14,1531689120
5th Avenue,25528153,11,1531689180
5th Avenue,25528154,16,1531689240
5th Avenue,25528155,8,1531689300
5th Avenue,25528156,13,1531689360
5th Avenue,25528157,16,1531689420
5th Avenue,25528158,16,1531689480
5th Avenue,25528159,9,1531689540
5th Avenue,25528160,12,1531689600
5th Avenue,25528161,18,1531689660
5th Avenue,25528162,24,1531689720
5th Avenue,25528163,20,1531689780
5th Avenue,25528164,11,1531689840
5th Avenue,25528165,13,1531689900
5th Avenue,25528166,16,1531689960
5th Avenue,25528167,14,1531690020
5th Avenue,25528168,21,1531690080
5th Avenue,25528169,14,1531690140
5th Avenue,25528170,17,1531690200
5th Avenue,25528171,23,1531690260
5th Avenue,25528172,25,1531690320
5th Avenue,25528173,24,1531690380
5th Avenue,25528174,9,1531690440
5th Avenue,25528175,16,1531690500
5th Avenue,25528176,15,1531690560
5th Avenue,25528177,17,1531690620
5th Avenue,25528178,17,1531690680
5th Avenue,25528179,10,1531690740
5th Avenue,25528180,27,1531690800
5th Avenue,25528181,13,1531690860
5th Avenue,25528182,19,1531690920
5th Avenue,25528183,18,1531690980
5th Avenue,25528184,24,1531691040
5th Avenue,25528185,15,1531691100
5th Avenue,25528186,19,1531691160
5th Avenue,25528187,21,1531691220
5th Avenue,25528188,20,1531691280
5th Avenue,25528189,17,1531691340
5th Avenue,25528190,12,1531691400
5th Avenue,25528191,24,1531691460
5th Avenue,25528192,17,1531691520
