,lat,long
Roosevelt,14.6575456,121.021191
Balintawak,14.6574375,121.0038748
Monumento,14.654367,120.983894
5th+Avenue,14.6444202,120.9835832
R+Papa,14.6360498,120.9822971
Abad+Santos,14.6306034,120.9814853
Blumentritt,14.6227455,120.9835353
Tayuman,14.6166646,120.9827277
Bambang,14.6054402,120.982061
Doroteo+Jose,14.6054402,120.982061
Carriedo,14.5992496,120.981363
Central+Terminal,14.5927759,120.9816613
United+Nations,14.58255,120.984621
Pedro+Gil,14.5763209,120.9881877
Quirino,14.5703345,120.991558
Vito+Cruz,14.5633793,120.9948178
Gil+Puyat,14.5541626,120.9971671
Libertad,14.5476629,120.9986104
EDSA,14.5385754,121.0006372
Baclaran,14.5342859,120.9983415
